dimension,indicator,habitat,label,direction,description,
Cumulative Impacts,pressure_seagrass_climate_rate,sg,Climate impact rate,-1,"The instantenous rate of change in cumulative climate pressures from 2003 - 2013 calculated as the sum of Ocean acidification, Sea surface temperature and Sea level rise pressures (with seagrass ecosystem multiplier) from Halpern et al. 2019.",
Cumulative Impacts,pressure_seagrass_land_rate,sg,Land impact rate,-1,"The instantaneous rate of change of cumulative land pressures from 2003 - 2013 calculated as the sum of Organic chemical pollution, Direct human and Nutrient polution pressures (with seagrass ecosystem multiplier) from Halpern et al. 2019.",
Cumulative Impacts,pressure_seagrass_marine_rate,sg,Marine impact rate,-1,"The instantaneous rate of change of cumulative marine pressures from 2003 - 2013 calculated as the sum of Artisinal fishing, Comercial fishing Pelagic bycatch (low, high), Commercial fishing Demersal non-destructive bycatch (low, high), Commercial fishing Demersal destructive, Light and Shipping  pressures (with seagrass ecosystem multiplier) from Halpern et al. 2019.",
Cumulative Impacts,pressure_mangrove_climate_current,mg,Climate impact,-1,"The current (2013) cumulative climate pressures calculated as the sum of Ocean acidification, Sea surface temperature and Sea level rise pressures (with mangrove ecosystem multiplier) from Halpern et al. 2019.",
Cumulative Impacts,pressure_mangrove_land_current,mg,Land impact,-1,"The current (2013) cumulative land pressure calculated as the sum of Organic chemical pollution, Direct human and Nutrient polution pressures (with mangrove ecosystem multiplier) from Halpern et al. 2019.",
Cumulative Impacts,pressure_mangrove_marine_current,mg,Marine impact,-1,"The current (2013) cumulative marine pressure calculated as the sum of Artisinal fishing, Comercial fishing Pelagic bycatch (low, high), Commercial fishing Demersal non-destructive bycatch (low, high), Commercial fishing Demersal destructive, Light and Shipping  pressures (with mangrove ecosystem multiplier) from Halpern et al. 2019.",
Cumulative Impacts,pressure_mangrove_climate_rate,mg,Climate impact rate,-1,"The instantenous rate of change in cumulative climate pressures from 2003 - 2013 calculated as the sum of Ocean acidification, Sea surface temperature and Sea level rise pressures (with mangrove ecosystem multiplier) from Halpern et al. 2019.",
Cumulative Impacts,pressure_mangrove_land_rate,mg,Land impact rate,-1,"The instantaneous rate of change of cumulative land pressures from 2003 - 2013 calculated as the sum of Organic chemical pollution, Direct human and Nutrient polution pressures (with mangrove ecosystem multiplier) from Halpern et al. 2019.",
Cumulative Impacts,pressure_mangrove_marine_rate,mg,Marine impact rate,-1,"The instantaneous rate of change of cumulative marine pressures from 2003 - 2013 calculated as the sum of Artisinal fishing, Comercial fishing Pelagic bycatch (low, high), Commercial fishing Demersal non-destructive bycatch (low, high), Commercial fishing Demersal destructive, Light and Shipping  pressures (with mangrove ecosystem multiplier) from Halpern et al. 2019.",
Cumulative Impacts,pressure_saltmarsh_climate_current,sm,Climate impact,-1,"The current (2013) cumulative climate pressures calculated as the sum of Ocean acidification, Sea surface temperature and Sea level rise pressures (with saltmarsh ecosystem multiplier) from Halpern et al. 2019.",
Cumulative Impacts,pressure_saltmarsh_land_current,sm,Land impact,-1,"The current (2013) cumulative land pressure calculated as the sum of Organic chemical pollution, Direct human and Nutrient polution pressures (with saltmarsh ecosystem multiplier) from Halpern et al. 2019.",
Cumulative Impacts,pressure_saltmarsh_marine_current,sm,Marine impact,-1,"The current (2013) cumulative marine pressure calculated as the sum of Artisinal fishing, Comercial fishing Pelagic bycatch (low, high), Commercial fishing Demersal non-destructive bycatch (low, high), Commercial fishing Demersal destructive, Light and Shipping  pressures (with saltmarsh ecosystem multiplier) from Halpern et al. 2019.",
Cumulative Impacts,pressure_saltmarsh_climate_rate,sm,Climate impact rate,-1,"The instantenous rate of change in cumulative climate pressures from 2003 - 2013 calculated as the sum of Ocean acidification, Sea surface temperature and Sea level rise pressures (with saltmarsh ecosystem multiplier) from Halpern et al. 2019.",
Cumulative Impacts,pressure_saltmarsh_land_rate,sm,Land impact rate,-1,"The instantaneous rate of change of cumulative land pressures from 2003 - 2013 calculated as the sum of Organic chemical pollution, Direct human and Nutrient polution pressures (with saltmarsh ecosystem multiplier) from Halpern et al. 2019.",
Cumulative Impacts,pressure_saltmarsh_marine_rate,sm,Marine impact rate,-1,"The instantaneous rate of change of cumulative marine pressures from 2003 - 2013 calculated as the sum of Artisinal fishing, Comercial fishing Pelagic bycatch (low, high), Commercial fishing Demersal non-destructive bycatch (low, high), Commercial fishing Demersal destructive, Light and Shipping  pressures (with saltmarsh ecosystem multiplier) from Halpern et al. 2019.",
Ecological Structure and Function,mang_spec_prop,mg,Prop threatened,-1,Proportion of IUCN threatened species for mangrove-affiliated flora and fauna.,
Ecological Structure and Function,salt_spec_prop,sm,Prop threatened,-1,Proportion of IUCN threatened species for saltmarsh-affiliated flora and fauna.,
Ecological Structure and Function,seag_spec_prop,sg,Prop threatened,-1,Proportion of IUCN threatened species for seagrass-affiliated flora and fauna.,
